,reqd_do
857,13089
858,15971
859,12746
860,8403
861,8000
862,6286
863,9922
864,8281
865,4500
866,5454
867,5625
868,13933
869,9467
870,9633
871,9380
872,7100
873,5000
874,3500
875,3000
876,4000
877,5707
878,6607
879,6000
880,12196
881,11929
882,8750
883,15629
884,12179
885,8000
886,4381
887,7188
888,6875
889,4500
890,4500
891,6000
892,14716
893,11621
894,10500
895,10252
896,7469
897,8000
898,5228
899,9844
900,8281
901,4500
902,4500
903,6000
904,7500
905,9685
906,8713
907,7756
908,7011
909,8043
910,5581
911,10000
912,7969
913,4500
914,4500
915,6000
916,12196
917,8597
918,11083
919,11613
920,6669
921,8000
922,4169
923,3750
924,4000
925,4500
926,4500
927,6000
928,16116
929,11113
930,9271
931,9687
932,6975
933,8000
934,5157
935,9922
936,8125
937,4500
938,5134
939,5067
940,6172
941,13121
942,9250
943,10602
944,6703
945,11255
946,5228
947,9922
948,8125
949,4500
950,5122
951,7203
952,6845
953,8906
954,9307
955,8675
956,6719
957,5000
958,3500
959,3388
960,4000
961,8034
962,4500
963,6000
964,15089
965,12942
966,8444
967,9013
968,6573
969,8196
970,4000
971,3442
972,4000
973,6102
974,4500
975,6000
976,14938
977,11079
978,10508
979,8101
980,7177
981,8483
982,6075
983,9844
984,8125
985,4500
986,4500
987,6000
988,15681
989,12964
990,9844
991,7581
992,8962
993,11939
994,5581
995,9922
996,7969
997,4500
998,4500
999,6000
1000,16080
1001,12952
1002,11650
1003,8633
1004,16783
1005,8000
1006,6075
1007,9375
1008,7813
1009,4500
1010,4500
1011,6000
1012,12196
1013,13242
1014,8854
1015,14375
1016,13550
1017,8000
1018,5157
1019,8750
1020,8438
1021,4500
1022,4500
1023,6000
1024,8636
1025,6719
1026,10167
1027,8319
1028,7100
1029,8066
1030,4439
1031,3738
1032,4000
1033,4500
1034,6560
1035,4500
1036,7530
1037,11161
1038,8933
1039,8331
1040,7243
1041,5000
1042,3500
1043,3273
1044,4000
1045,4787
1046,7251
1047,4500
1048,11525
1049,8438
1050,13421
1051,6400
1052,9920
1053,5000
1054,3500
1055,3000
1056,4474
1057,4500
1058,6086
1059,4500
1060,6563
1061,11230
1062,9014
1063,8039
1064,5447
1065,6500
1066,4000
1067,5096
1068,4000
1069,4500
1070,4500
1071,6000
1072,16234
1073,11048
1074,11088
1075,15895
1076,5040
1077,8000
1078,4452
1079,6719
1080,6875
1081,4500
1082,4500
1083,5397
1084,9614
1085,7239
1086,10688
1087,10673
1088,5625
1089,7648
1090,4000
1091,4395
1092,4000
1093,6173
1094,4500
1095,6000
1096,16714
1097,6433
1098,8956
1099,9295
1100,7100
1101,5000
1102,3500
1103,3860
1104,4000
1105,4741
1106,8000
1107,4500
1108,9086
1109,10684
1110,10167
1111,7100
1112,7100
1113,4000
1114,3000
1115,3000
1116,3000
1117,4494
1118,3500
1119,6000
1120,8329
1121,11400
1122,6563
1123,7100
1124,7100
1125,4000
1126,3000
1127,3000
